date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:20	100151/100151	---M-Z	200	added ('OK')	text/html	etag:%2218737-673ec38b-1b211de42e7a9e1f;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index-one-page.html	(from )
10:30:21	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-38a54ccda54449fb;gz%22	https://html.storebuild.shop/robots.txt		(from )
10:30:21	2453/2453	---M--	200	added ('OK')	image/png	etag:%22995-673ec38b-cd5394797148ab0;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/logo/favicons.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/logo/favicons.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:22	194897/194897	---M-Z	200	added ('OK')	text/css	etag:%222f951-673ec38b-c5f92e4ddc55bacf;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/bootstrap.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/bootstrap.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:22	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-673ec38b-738ffa2552ecf89b;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/animate.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/animate.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:22	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-673ec38b-8009ac161f1932bc;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/swiper-bundle.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/swiper-bundle.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:23	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-673ec38b-3e2b2b4b3cf49234;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/slick.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/slick.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:23	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-673ec38b-49b514afe5098ed;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/magnific-popup.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/magnific-popup.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:23	465639/465639	---M-Z	200	added ('OK')	text/css	etag:%2271ae7-673ec38b-ec5c4dc784406d79;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/font-awesome-pro.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/font-awesome-pro.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:23	4533/4533	---M-Z	200	added ('OK')	text/css	etag:%2211b5-673ec38b-a3ebc358630ca445;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/flaticon_tecza.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/flaticon_tecza.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:23	8424/8424	---M-Z	200	added ('OK')	text/css	etag:%2220e8-673ec38b-c2ec7de48ffea78f;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/spacing.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/spacing.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:24	421116/421116	---M-Z	200	added ('OK')	text/css	etag:%2266cfc-673ec38b-71317408ce260ee6;gz%22	https://html.storebuild.shop/tecza-prv/tecza/assets/css/main.css	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/css/main.css	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
